scenario,cell,cwd,aet,tminmin,ppt,djf,jja
2061-2080_rcp45_CanESM2,21,783.9635009765625,446.6633605957031,7.599999904632568,3.084933574936716,8.100000381469727,30.200000762939453
2061-2080_rcp45_CanESM2,22,772.505859375,457.05621337890625,7.5,3.093421685162235,7.9666666984558105,30.100000381469727
2061-2080_rcp45_CanESM2,23,758.07611083984375,467.6595458984375,7.300000190734863,3.1075491297446862,7.766666889190674,30
2061-2080_rcp45_CanESM2,24,748.17205810546875,471.5804138183594,7,3.124178055474675,7.4666666984558105,29.75
2061-2080_rcp45_CanESM2,25,736.589599609375,467.9649963378906,6.5,3.137986732723532,6.9666666984558105,29.299999237060547
2061-2080_rcp45_CanESM2,26,736.63214111328125,461.0740051269531,6.199999809265137,3.130976691605617,6.666666507720947,29
2061-2080_rcp45_CanESM2,27,777.4217529296875,441.55047607421875,6.699999809265137,3.095518042323151,7.166666507720947,29.649999618530273
2061-2080_rcp45_CanESM2,28,805.2861328125,424.5613098144531,6.900000095367432,3.055378331375,7.400000095367432,29.950000762939453
2061-2080_rcp45_CanESM2,29,821.55419921875,416.29681396484375,7.099999904632568,3.0362295440862948,7.566666603088379,30.200000762939453
2061-2080_rcp45_CanESM2,30,783.11431884765625,443.4747619628906,7.599999904632568,3.0881360887005513,8.066666603088379,30.049999237060547
2061-2080_rcp45_CanESM2,31,770.02886962890625,459.1598205566406,7.5,3.1000257301078626,8,30.100000381469727
2061-2080_rcp45_CanESM2,32,753.51763916015625,468.52740478515625,7.300000190734863,3.1152775913959014,7.766666889190674,29.850000381469727
2061-2080_rcp45_CanESM2,33,743.75909423828125,471.5500183105469,7,3.133858125203335,7.4666666984558105,29.649999618530273
2061-2080_rcp45_CanESM2,34,734.43499755859375,473.3891906738281,6.699999809265137,3.15259407792747,7.166666507720947,29.350000381469727
2061-2080_rcp45_CanESM2,35,730.28570556640625,467.8256530761719,6.300000190734863,3.156851901070011,6.766666889190674,29.049999237060547
2061-2080_rcp45_CanESM2,36,751.53326416015625,454.6241455078125,6.400000095367432,3.13640344813399,6.866666793823242,29.25
2061-2080_rcp45_CanESM2,37,782.93634033203125,432.9652099609375,6.599999904632568,3.0941215958405612,7.099999904632568,29.549999237060547
2061-2080_rcp45_CanESM2,38,814.9405517578125,415.75341796875,6.900000095367432,3.053462604925455,7.366666793823242,29.950000762939453
2061-2080_rcp45_CanESM2,39,818.477294921875,415.4071044921875,7,3.0394141191761372,7.4666666984558105,30.049999237060547
2061-2080_rcp45_CanESM2,40,780.5816650390625,443.4148254394531,7.599999904632568,3.0916669575956846,8.066666603088379,30
2061-2080_rcp45_CanESM2,41,763.27313232421875,460.49200439453125,7.5,3.104487111312395,7.9666666984558105,29.950000762939453
2061-2080_rcp45_CanESM2,42,747.72772216796875,468.7917175292969,7.199999809265137,3.1212314551496214,7.666666507720947,29.700000762939453
2061-2080_rcp45_CanESM2,43,739.14447021484375,470.78021240234375,6.900000095367432,3.140193678578631,7.366666793823242,29.450000762939453
2061-2080_rcp45_CanESM2,44,730.4324951171875,472.3961181640625,6.599999904632568,3.161368002234975,7.066666603088379,29.25
2061-2080_rcp45_CanESM2,45,720.8619384765625,469.6238708496094,6.099999904632568,3.1746411926604483,6.566666603088379,28.799999237060547
2061-2080_rcp45_CanESM2,46,725.82861328125,459.5917663574219,5.900000095367432,3.1690863574870227,6.366666793823242,28.649999618530273
2061-2080_rcp45_CanESM2,47,758.6875,441.41900634765625,6.199999809265137,3.13640344813399,6.666666507720947,29.049999237060547
2061-2080_rcp45_CanESM2,48,796.640869140625,419.8665771484375,6.599999904632568,3.0827853703164503,7.066666603088379,29.549999237060547
