species,cell,scenario,delta
Acer macrophyllum,14,2061-2080_rcp85_MIROC5,-0.6516676992177963
Acer macrophyllum,15,2061-2080_rcp85_MIROC5,-0.6538851708173752
Acer macrophyllum,16,2061-2080_rcp85_MIROC5,-0.6242718249559402
Acer macrophyllum,17,2061-2080_rcp85_MIROC5,-0.6015048772096634
Acer macrophyllum,18,2061-2080_rcp85_MIROC5,-0.5665842294692993
Acer macrophyllum,19,2061-2080_rcp85_MIROC5,-0.5246937423944473
Aesculus californica,1,2061-2080_rcp45_CanESM2,-0.27804933581501245
Aesculus californica,2,2061-2080_rcp45_CanESM2,-0.2593749165534973
Aesculus californica,3,2061-2080_rcp45_CanESM2,-0.26442445255815983
Aesculus californica,4,2061-2080_rcp45_CanESM2,-0.27608851343393326
Aesculus californica,5,2061-2080_rcp45_CanESM2,-0.3499842882156372
Aesculus californica,6,2061-2080_rcp45_CanESM2,-0.3787320479750633
Aesculus californica,7,2061-2080_rcp45_CanESM2,-0.2383671998977661
Aesculus californica,8,2061-2080_rcp45_CanESM2,-0.04450029134750366
Aesculus californica,9,2061-2080_rcp45_CanESM2,-0.3672647625207901
Aesculus californica,10,2061-2080_rcp45_CanESM2,-0.41240542382001877
Aesculus californica,11,2061-2080_rcp45_CanESM2,-0.3069230616092682
Aesculus californica,12,2061-2080_rcp45_CanESM2,-0.06050708889961243
Aesculus californica,13,2061-2080_rcp45_CanESM2,-0.3138364013284445
Aesculus californica,14,2061-2080_rcp45_CanESM2,-0.3381129950284958
Aesculus californica,15,2061-2080_rcp45_CanESM2,-0.33082740008831024
Aesculus californica,16,2061-2080_rcp45_CanESM2,-0.3489498198032379
Aesculus californica,17,2061-2080_rcp45_CanESM2,-0.3501237481832504
Aesculus californica,18,2061-2080_rcp45_CanESM2,-0.28008607029914856
Aesculus californica,19,2061-2080_rcp45_CanESM2,-0.16141663491725922
Aesculus californica,1,2061-2080_rcp45_CNRM-CM5,-0.17261680960655212
Aesculus californica,2,2061-2080_rcp45_CNRM-CM5,-0.1499376893043518
Aesculus californica,3,2061-2080_rcp45_CNRM-CM5,-0.15934675931930542
Aesculus californica,4,2061-2080_rcp45_CNRM-CM5,-0.15179865062236786
Aesculus californica,5,2061-2080_rcp45_CNRM-CM5,-0.1814897656440735
Aesculus californica,6,2061-2080_rcp45_CNRM-CM5,-0.17437744140625
Aesculus californica,7,2061-2080_rcp45_CNRM-CM5,-0.08214238286018372
Aesculus californica,8,2061-2080_rcp45_CNRM-CM5,-0.024126023054122925
Aesculus californica,9,2061-2080_rcp45_CNRM-CM5,-0.18732136487960815
Aesculus californica,10,2061-2080_rcp45_CNRM-CM5,-0.1975683569908142
Aesculus californica,11,2061-2080_rcp45_CNRM-CM5,-0.13432663679122925
Aesculus californica,12,2061-2080_rcp45_CNRM-CM5,-0.036346644163131714
Aesculus californica,13,2061-2080_rcp45_CNRM-CM5,-0.18479898571968079
Aesculus californica,14,2061-2080_rcp45_CNRM-CM5,-0.1811600774526596
Aesculus californica,15,2061-2080_rcp45_CNRM-CM5,-0.17471854388713837
Aesculus californica,16,2061-2080_rcp45_CNRM-CM5,-0.16616283357143402
Aesculus californica,17,2061-2080_rcp45_CNRM-CM5,-0.15337803959846497
Aesculus californica,18,2061-2080_rcp45_CNRM-CM5,-0.11425897479057312
Aesculus californica,19,2061-2080_rcp45_CNRM-CM5,-0.07745185494422913
Aesculus californica,1,2061-2080_rcp45_HadGEM2-ES,-0.2371676191687584
Aesculus californica,2,2061-2080_rcp45_HadGEM2-ES,-0.22409121692180634
Aesculus californica,3,2061-2080_rcp45_HadGEM2-ES,-0.2272888422012329
Aesculus californica,4,2061-2080_rcp45_HadGEM2-ES,-0.2324637919664383
Aesculus californica,5,2061-2080_rcp45_HadGEM2-ES,-0.26952575147151947
Aesculus californica,6,2061-2080_rcp45_HadGEM2-ES,-0.27228081226348877
Aesculus californica,7,2061-2080_rcp45_HadGEM2-ES,-0.10780596733093262
Aesculus californica,8,2061-2080_rcp45_HadGEM2-ES,-0.004253864288330078
Aesculus californica,9,2061-2080_rcp45_HadGEM2-ES,-0.2846129983663559
Aesculus californica,10,2061-2080_rcp45_HadGEM2-ES,-0.29296551644802094
Aesculus californica,11,2061-2080_rcp45_HadGEM2-ES,-0.16999101638793945
Aesculus californica,12,2061-2080_rcp45_HadGEM2-ES,0.018301159143447876
Aesculus californica,13,2061-2080_rcp45_HadGEM2-ES,-0.26826054602861404
Aesculus californica,14,2061-2080_rcp45_HadGEM2-ES,-0.27321603894233704
Aesculus californica,15,2061-2080_rcp45_HadGEM2-ES,-0.2620786651968956
Aesculus californica,16,2061-2080_rcp45_HadGEM2-ES,-0.24799104034900665
Aesculus californica,17,2061-2080_rcp45_HadGEM2-ES,-0.21723665297031403
Aesculus californica,18,2061-2080_rcp45_HadGEM2-ES,-0.14467084407806396
Aesculus californica,19,2061-2080_rcp45_HadGEM2-ES,-0.05871167778968811
Aesculus californica,1,2061-2080_rcp45_MIROC5,0.12856486439704895
Aesculus californica,2,2061-2080_rcp45_MIROC5,0.16123223304748535
Aesculus californica,3,2061-2080_rcp45_MIROC5,0.1459890604019165
Aesculus californica,4,2061-2080_rcp45_MIROC5,0.1356365978717804
Aesculus californica,5,2061-2080_rcp45_MIROC5,0.027433276176452637
Aesculus californica,6,2061-2080_rcp45_MIROC5,-0.05181849002838135
Aesculus californica,7,2061-2080_rcp45_MIROC5,-0.01464053988456726
Aesculus californica,8,2061-2080_rcp45_MIROC5,0.04465001821517944
Aesculus californica,9,2061-2080_rcp45_MIROC5,0.0016817748546600342
Aesculus californica,10,2061-2080_rcp45_MIROC5,-0.11124050617218018
Aesculus californica,11,2061-2080_rcp45_MIROC5,-0.08419102430343628
Aesculus californica,12,2061-2080_rcp45_MIROC5,0.01642751693725586
Aesculus californica,13,2061-2080_rcp45_MIROC5,0.06593045592308044
Aesculus californica,14,2061-2080_rcp45_MIROC5,0.035142362117767334
Aesculus californica,15,2061-2080_rcp45_MIROC5,0.0538155734539032
Aesculus californica,16,2061-2080_rcp45_MIROC5,0.020830601453781128
Aesculus californica,17,2061-2080_rcp45_MIROC5,-0.01607799530029297
Aesculus californica,18,2061-2080_rcp45_MIROC5,-0.04107016324996948
Aesculus californica,19,2061-2080_rcp45_MIROC5,-0.039107173681259155
Aesculus californica,1,2061-2080_rcp85_CanESM2,-0.2885924121364951
Aesculus californica,2,2061-2080_rcp85_CanESM2,-0.2716659437865019
Aesculus californica,3,2061-2080_rcp85_CanESM2,-0.2764645656570792
Aesculus californica,4,2061-2080_rcp85_CanESM2,-0.29035220202058554
Aesculus californica,5,2061-2080_rcp85_CanESM2,-0.371856976300478
Aesculus californica,6,2061-2080_rcp85_CanESM2,-0.41507017239928246
